country,region,level1,level2
United Republic of Tanzania,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49)
United States minor outlying islands,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Micronesia (M49)
United States of America,Northern America (M49) and Europe (M49),Northern America (M49),Northern America (M49)
United States Virgin Islands,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49)
Uruguay,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49)
Vanuatu,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Melanesia (M49)
Venezuela (Bolivarian Republic of),Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49)
Viet Nam,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Asia (M49),South-eastern Asia (MDG=M49)
Wallis and Futuna Islands,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Polynesia (M49)
Western Sahara,Western Asia (M49) and Northern Africa (M49),Northern Africa (M49),Northern Africa (M49)
Yemen,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49)
Faroe Islands,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49)
Finland,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49)
Greenland,Northern America (M49) and Europe (M49),Northern America (M49),Northern America (M49)
Iceland,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49)
Svalbard and Jan Mayen Islands,Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49)
